api	total	focus_total	excluded_total	category:common_user_or_argument_error	category:generated_code_error	category:low_signal_unclassified_exception	category:no_embedded_error_signal	category:strong_backend_failure	category:strong_backend_failure_sparse_caveat	category:tool_or_environment_limit	status:crash	status:exception	status:notarget	status:valid
torch.Tensor.not_equal	408	0	408	80	79	42	207	0	0	0	0	183	18	207
torch.Tensor.not_equal_	928	0	928	187	208	332	201	0	0	0	0	679	48	201
torch.Tensor.numel	719	0	719	78	270	170	201	0	0	0	0	328	190	201
torch.Tensor.orgqr	1048	0	1048	492	170	174	212	0	0	0	0	779	57	212
torch.Tensor.outer	679	0	679	211	191	75	202	0	0	0	0	431	46	202
torch.Tensor.permute	876	0	876	164	297	209	206	0	0	0	0	616	54	206
torch.Tensor.pin_memory	536	0	536	66	169	101	200	0	0	0	0	258	78	200
torch.Tensor.pinverse	424	0	424	97	83	43	201	0	0	0	0	208	15	201
torch.Tensor.polygamma	344	0	344	27	72	15	230	0	0	0	0	104	10	230
torch.Tensor.polygamma_	933	0	933	269	314	143	206	0	0	1	0	607	120	206
torch.Tensor.positive	496	0	496	76	92	125	203	0	0	0	0	266	27	203
torch.Tensor.pow	651	0	651	196	192	56	207	0	0	0	0	435	9	207
torch.Tensor.pow_	838	0	838	265	175	190	208	0	0	0	0	504	126	208
torch.Tensor.prod	458	0	458	79	111	59	209	0	0	0	0	225	24	209
torch.Tensor.put_	556	0	556	115	63	177	201	0	0	0	0	344	11	201
torch.Tensor.qr	1016	0	1016	279	347	190	200	0	0	0	0	673	143	200
torch.Tensor.quantile	408	0	408	65	84	35	224	0	0	0	0	159	25	224
torch.Tensor.rad2deg	501	0	501	80	169	51	201	0	0	0	0	275	25	201
torch.Tensor.random_	480	0	480	76	95	86	223	0	0	0	0	221	36	223
torch.Tensor.ravel	614	0	614	91	112	206	205	0	0	0	0	382	27	205
torch.Tensor.reciprocal	557	0	557	83	194	64	216	0	0	0	0	286	55	216
torch.Tensor.reciprocal_	476	0	476	49	146	78	203	0	0	0	0	217	56	203
torch.Tensor.remainder	402	0	402	35	40	121	206	0	0	0	0	190	6	206
torch.Tensor.remainder_	607	0	607	150	164	91	202	0	0	0	0	330	75	202
torch.Tensor.renorm	369	0	369	57	69	30	213	0	0	0	0	144	12	213
torch.Tensor.renorm_	825	0	825	163	355	103	204	0	0	0	0	521	100	204
torch.Tensor.repeat	561	0	561	145	104	112	200	0	0	0	0	320	41	200
torch.Tensor.repeat_interleave	512	0	512	100	119	83	210	0	0	0	0	265	37	210
torch.Tensor.requires_grad_	308	0	308	36	101	67	104	0	0	0	0	176	28	104
torch.Tensor.reshape_as	1116	0	1116	466	270	179	201	0	0	0	0	731	184	201
torch.Tensor.resize_	490	0	490	69	158	61	202	0	0	0	0	250	38	202
torch.Tensor.resize_as_	584	0	584	120	195	69	200	0	0	0	0	322	62	200
torch.Tensor.resolve_conj	553	0	553	114	157	72	210	0	0	0	0	288	55	210
torch.Tensor.resolve_neg	491	0	491	56	146	81	208	0	0	0	0	234	49	208
torch.Tensor.retain_grad	873	0	873	232	176	251	214	0	0	0	0	415	244	214
torch.Tensor.roll	665	0	665	118	131	213	203	0	0	0	0	426	36	203
torch.Tensor.rot90	1164	0	1164	290	542	131	201	0	0	0	0	889	74	201
torch.Tensor.round	364	0	364	75	42	24	223	0	0	0	0	130	11	223
torch.Tensor.round_	569	0	569	203	122	41	203	0	0	0	0	298	68	203
torch.Tensor.rsqrt	464	0	464	60	139	46	219	0	0	0	0	203	42	219
torch.Tensor.rsqrt_	506	0	506	103	85	133	185	0	0	0	0	195	126	185
torch.Tensor.scatter	890	0	890	243	117	330	200	0	0	0	0	606	84	200
torch.Tensor.scatter_	1504	0	1504	378	362	547	217	0	0	0	0	1040	247	217
torch.Tensor.scatter_add	767	0	767	197	155	208	207	0	0	0	0	479	81	207
torch.Tensor.scatter_add_	450	0	450	128	41	81	200	0	0	0	0	214	36	200
torch.Tensor.select	611	0	611	227	96	85	203	0	0	0	0	328	80	203
torch.Tensor.sgn	828	0	828	97	138	378	215	0	0	0	0	528	85	215
torch.Tensor.sgn_	424	0	424	48	112	53	211	0	0	0	0	172	41	211
torch.Tensor.share_memory_	683	0	683	130	262	80	211	0	0	0	0	408	64	211
torch.Tensor.short	471	0	471	138	65	57	211	0	0	0	0	218	42	211
torch.Tensor.sigmoid	463	0	463	95	82	84	202	0	0	0	0	219	42	202
torch.Tensor.sigmoid_	334	0	334	33	57	37	207	0	0	0	0	89	38	207
torch.Tensor.sign	518	0	518	85	111	108	214	0	0	0	0	261	43	214
torch.Tensor.sign_	361	0	361	25	96	14	226	0	0	0	0	95	40	226
torch.Tensor.signbit	379	0	379	51	82	36	210	0	0	0	0	143	26	210
torch.Tensor.sin	490	0	490	98	99	83	210	0	0	0	0	226	54	210
torch.Tensor.sin_	728	0	728	117	259	152	200	0	0	0	0	396	132	200
torch.Tensor.sinc	487	0	487	81	136	57	213	0	0	0	0	232	42	213
torch.Tensor.sinc_	651	0	651	117	174	154	206	0	0	0	0	273	172	206
torch.Tensor.sinh	453	0	453	70	110	72	201	0	0	0	0	201	51	201
torch.Tensor.sinh_	592	0	592	112	157	119	204	0	0	0	0	272	116	204
torch.Tensor.size	799	0	799	162	313	121	203	0	0	0	0	551	45	203
torch.Tensor.slogdet	715	0	715	216	153	141	205	0	0	0	0	406	104	205
torch.Tensor.sort	476	0	476	94	98	79	205	0	0	0	0	249	22	205
torch.Tensor.sparse_dim	791	0	791	214	232	145	200	0	0	0	0	503	88	200
torch.Tensor.split	712	0	712	145	239	128	200	0	0	0	0	493	19	200
torch.Tensor.sqrt	609	0	609	106	189	104	210	0	0	0	0	358	41	210
torch.Tensor.sqrt_	426	0	426	87	76	63	200	0	0	0	0	169	57	200
torch.Tensor.square	497	0	497	95	149	42	211	0	0	0	0	247	39	211
torch.Tensor.square_	487	0	487	62	116	77	232	0	0	0	0	203	52	232
torch.Tensor.squeeze	517	0	517	98	143	75	201	0	0	0	0	300	16	201
torch.Tensor.squeeze_	589	0	589	84	197	93	215	0	0	0	0	292	82	215
torch.Tensor.std	713	0	713	132	293	74	214	0	0	0	0	439	60	214
torch.Tensor.stft	71	0	71	4	21	43	3	0	0	0	0	33	35	3
torch.Tensor.storage	498	0	498	115	71	109	203	0	0	0	0	286	9	203
torch.Tensor.storage_offset	668	0	668	154	217	95	202	0	0	0	0	416	48	204
torch.Tensor.storage_type	655	0	655	129	169	151	206	0	0	0	0	342	107	206
torch.Tensor.stride	772	0	772	198	276	87	211	0	0	0	0	524	37	211
torch.Tensor.sub	367	0	367	77	27	60	203	0	0	0	0	156	8	203
torch.Tensor.sub_	583	0	583	95	183	104	200	0	0	1	0	301	82	200
torch.Tensor.subtract	294	0	294	23	27	44	200	0	0	0	0	71	23	200
torch.Tensor.subtract_	409	0	409	67	78	53	211	0	0	0	0	123	75	211
torch.Tensor.sum	416	0	416	39	89	78	210	0	0	0	0	181	25	210
torch.Tensor.sum_to_size	504	0	504	126	50	125	203	0	0	0	0	256	45	203
torch.Tensor.svd	642	0	642	87	242	90	223	0	0	0	0	357	62	223
torch.Tensor.swapaxes	589	0	589	253	77	52	207	0	0	0	0	334	48	207
torch.Tensor.swapdims	469	0	469	112	66	87	204	0	0	0	0	207	58	204
torch.Tensor.t	478	0	478	86	92	97	203	0	0	0	0	262	13	203
torch.Tensor.t_	495	0	495	76	118	97	204	0	0	0	0	241	50	204
torch.Tensor.take	717	0	717	190	236	89	202	0	0	0	0	471	44	202
torch.Tensor.take_along_dim	1113	0	1113	288	425	193	207	0	0	0	0	727	179	207
torch.Tensor.tan	329	0	329	23	57	49	200	0	0	0	0	97	32	200
torch.Tensor.tan_	543	0	543	80	130	129	204	0	0	0	0	227	112	204
torch.Tensor.tanh	401	0	401	54	66	64	217	0	0	0	0	146	38	217
torch.Tensor.tanh_	558	0	558	90	128	134	206	0	0	0	0	294	58	206
torch.Tensor.tensor_split	679	0	679	178	181	115	205	0	0	0	0	414	60	205
torch.Tensor.tile	577	0	577	126	181	70	200	0	0	0	0	362	15	200
torch.Tensor.to_mkldnn	1286	0	1286	283	560	231	212	0	0	0	0	910	164	212
torch.Tensor.to_sparse	838	0	838	157	265	209	207	0	0	0	0	571	60	207
torch.Tensor.tolist	581	0	581	47	188	144	202	0	0	0	0	333	46	202
torch.Tensor.topk	547	0	547	83	142	121	201	0	0	0	0	329	17	201
torch.Tensor.trace	802	0	802	260	163	174	205	0	0	0	0	560	37	205
torch.Tensor.transpose	481	0	481	97	95	89	200	0	0	0	0	276	5	200
torch.Tensor.transpose_	606	0	606	157	100	131	218	0	0	0	0	295	93	218
torch.Tensor.triangular_solve	857	0	857	282	199	175	201	0	0	0	0	567	89	201
torch.Tensor.tril	553	0	553	86	108	156	203	0	0	0	0	343	7	203
torch.Tensor.tril_	752	0	752	188	166	191	207	0	0	0	0	407	138	207
torch.Tensor.triu	432	0	432	102	49	73	208	0	0	0	0	212	11	209
torch.Tensor.triu_	786	0	786	106	338	141	201	0	0	0	0	515	70	201
torch.Tensor.true_divide	538	0	538	102	154	68	214	0	0	0	0	304	20	214
torch.Tensor.true_divide_	711	0	711	183	191	133	204	0	0	0	0	470	37	204
torch.Tensor.trunc	326	0	326	59	33	19	215	0	0	0	0	109	2	215
torch.Tensor.trunc_	871	0	871	157	436	76	202	0	0	0	0	605	64	202
torch.Tensor.type	601	0	601	124	192	64	221	0	0	0	0	319	61	221
torch.Tensor.type_as	344	0	344	56	54	23	211	0	0	0	0	122	11	211
torch.Tensor.unbind	588	0	588	138	147	93	210	0	0	0	0	337	41	210
torch.Tensor.unfold	774	0	774	361	112	97	203	0	0	1	0	500	71	203
torch.Tensor.unique	462	0	462	40	80	134	208	0	0	0	0	222	32	208
torch.Tensor.unique_consecutive	449	0	449	77	73	96	203	0	0	0	0	237	9	203
torch.Tensor.unsqueeze	489	0	489	83	103	87	216	0	0	0	0	236	37	216
torch.Tensor.unsqueeze_	678	0	678	217	124	137	200	0	0	0	0	422	56	200
torch.Tensor.var	717	0	717	173	213	129	202	0	0	0	0	425	90	202
torch.Tensor.vdot	751	0	751	83	252	216	200	0	0	0	0	485	66	200
torch.Tensor.view_as	687	0	687	271	71	139	206	0	0	0	0	465	16	206
torch.Tensor.vsplit	629	0	629	103	191	132	203	0	0	0	0	385	41	203
torch.Tensor.where	442	0	442	80	39	118	205	0	0	0	0	216	21	205
torch.Tensor.xlogy	363	0	363	60	39	62	202	0	0	0	0	142	19	202
torch.Tensor.xlogy_	499	0	499	86	120	87	206	0	0	0	0	221	72	206
torch.Tensor.zero_	603	0	603	79	261	57	206	0	0	0	0	323	74	206
torch._assert	876	0	876	157	403	111	205	0	0	0	0	629	39	208
torch.abs	515	0	515	68	156	89	202	0	0	0	0	251	62	202
torch.absolute	344	0	344	49	78	17	200	0	0	0	0	129	15	200
torch.acos	421	0	421	79	94	29	219	0	0	0	0	163	39	219
torch.acosh	294	0	294	35	34	22	203	0	0	0	0	68	23	203
torch.add	408	0	408	41	137	30	200	0	0	0	0	199	9	200
torch.addbmm	1286	0	1286	498	293	285	210	0	0	0	0	1019	57	210
torch.addcdiv	513	0	513	223	60	25	205	0	0	0	0	208	100	205
torch.addcmul	475	0	475	153	77	28	217	0	0	0	0	216	42	217
torch.addmm	631	0	631	135	158	128	210	0	0	0	0	372	49	210
torch.addmv	814	0	814	290	78	241	205	0	0	0	0	557	52	205
torch.addr	359	0	359	85	40	33	201	0	0	0	0	126	32	201
torch.all	468	0	468	119	83	63	203	0	0	0	0	200	65	203
torch.allclose	567	0	567	72	115	180	200	0	0	0	0	357	10	200
torch.amax	614	0	614	162	138	106	208	0	0	0	0	362	44	208
torch.amin	571	0	571	123	166	61	221	0	0	0	0	297	53	221
torch.aminmax	975	0	975	316	329	128	202	0	0	0	0	647	126	202
torch.angle	514	0	514	145	84	74	211	0	0	0	0	245	58	211
torch.any	368	0	368	63	72	26	207	0	0	0	0	152	9	207
torch.arange	325	0	325	55	44	23	203	0	0	0	0	120	2	203
torch.arccos	379	0	379	80	91	44	164	0	0	0	0	174	41	164
torch.arccosh	351	0	351	52	66	22	211	0	0	0	0	122	18	211
torch.arcsin	426	0	426	61	72	79	214	0	0	0	0	142	70	214
torch.arcsinh	426	0	426	51	120	57	198	0	0	0	0	173	55	198
torch.arctan	370	0	370	32	80	50	208	0	0	0	0	147	15	208
torch.arctanh	431	0	431	64	114	48	205	0	0	0	0	184	42	205
torch.are_deterministic_algorithms_enabled	452	0	452	67	117	57	211	0	0	0	0	202	39	211
torch.argmax	274	0	274	30	37	5	202	0	0	0	0	68	4	202
torch.argmin	439	0	439	69	95	72	203	0	0	0	0	200	36	203
torch.argsort	483	0	483	66	87	126	204	0	0	0	0	236	43	204
torch.as_strided	1329	0	1329	400	436	292	201	0	0	0	0	1034	94	201
torch.as_tensor	328	0	328	60	31	20	217	0	0	0	0	93	18	217
torch.asin	346	0	346	40	77	8	221	0	0	0	0	119	6	221
torch.asinh	550	0	550	153	121	68	207	0	0	1	0	302	41	207
torch.atan	395	0	395	68	94	21	212	0	0	0	0	175	8	212
torch.atan2	398	0	398	100	47	51	200	0	0	0	0	157	41	200
torch.atanh	365	0	365	47	70	14	234	0	0	0	0	111	20	234
torch.atleast_1d	568	0	568	164	69	124	211	0	0	0	0	307	50	211
torch.atleast_2d	244	0	244	58	105	35	46	0	0	0	0	160	38	46
torch.atleast_3d	675	0	675	138	240	92	205	0	0	0	0	420	50	205
torch.baddbmm	554	0	554	132	65	153	204	0	0	0	0	336	14	204
torch.bartlett_window	628	0	628	143	151	131	203	0	0	0	0	399	26	203
torch.bernoulli	376	0	376	57	91	14	214	0	0	0	0	158	4	214
torch.bincount	716	0	716	197	109	193	217	0	0	0	0	466	33	217
torch.bitwise_and	473	0	473	122	97	34	220	0	0	0	0	237	16	220
torch.bitwise_left_shift	491	0	491	162	94	31	204	0	0	0	0	275	12	204
torch.bitwise_not	361	0	361	71	48	32	210	0	0	0	0	140	11	210
torch.bitwise_or	355	0	355	57	53	29	216	0	0	0	0	122	17	216
torch.bitwise_right_shift	447	0	447	110	81	56	200	0	0	0	0	210	37	200
torch.bitwise_xor	562	0	562	111	65	177	209	0	0	0	0	325	28	209
torch.blackman_window	379	0	379	71	50	53	205	0	0	0	0	166	8	205
torch.block_diag	356	0	356	46	37	72	201	0	0	0	0	141	14	201
torch.bmm	974	0	974	442	212	120	200	0	0	0	0	650	124	200
torch.broadcast_shapes	539	0	539	40	54	241	204	0	0	0	0	312	23	204
torch.broadcast_tensors	821	0	821	279	215	116	211	0	0	0	0	522	88	211
torch.broadcast_to	703	0	703	138	121	230	214	0	0	0	0	470	19	214
torch.bucketize	609	0	609	196	151	39	223	0	0	0	0	338	48	223
torch.can_cast	442	0	442	73	84	77	208	0	0	0	0	216	18	208
torch.cartesian_prod	453	0	453	72	48	133	200	0	0	0	0	189	64	200
torch.cat	512	0	512	167	55	84	206	0	0	0	0	284	22	206
torch.cdist	745	0	745	137	127	279	202	0	0	0	0	511	32	202
torch.ceil	445	0	445	82	106	55	202	0	0	0	0	216	27	202
torch.chain_matmul	795	0	795	288	85	222	200	0	0	0	0	521	74	200
torch.cholesky	940	0	940	150	179	400	211	0	0	0	0	673	56	211
torch.cholesky_inverse	419	0	419	84	57	61	217	0	0	0	0	191	11	217
torch.cholesky_solve	712	0	712	180	74	251	207	0	0	0	0	465	40	207
torch.chunk	723	0	723	139	319	62	203	0	0	0	0	490	30	203
torch.clamp	340	0	340	67	57	7	209	0	0	0	0	128	3	209
torch.clip	436	0	436	103	108	24	201	0	0	0	0	225	10	201
torch.clone	536	0	536	35	89	206	206	0	0	0	0	322	8	206
torch.column_stack	763	0	763	286	133	141	203	0	0	0	0	504	56	203
torch.combinations	638	0	638	200	131	105	202	0	0	0	0	400	36	202
torch.compiled_with_cxx11_abi	1083	0	1083	142	339	385	217	0	0	0	0	823	43	217
torch.complex	436	0	436	123	45	64	204	0	0	0	0	193	39	204
torch.concat	734	0	734	300	91	116	226	0	0	1	0	452	56	226
torch.conj	299	0	299	60	98	33	108	0	0	0	0	167	24	108
torch.conj_physical	603	0	603	137	135	109	222	0	0	0	0	274	107	222
torch.copysign	322	0	322	46	50	25	201	0	0	0	0	105	16	201
torch.corrcoef	618	0	618	283	68	63	204	0	0	0	0	373	41	204
torch.cos	332	0	332	35	34	59	204	0	0	0	0	119	9	204
torch.cosh	350	0	350	46	55	32	217	0	0	0	0	108	25	217
torch.count_nonzero	336	0	336	47	64	20	205	0	0	0	0	122	9	205
torch.cov	765	0	765	259	131	174	201	0	0	0	0	486	78	201
torch.cross	844	0	844	193	116	328	207	0	0	0	0	550	87	207
torch.cummax	835	0	835	253	220	161	200	0	0	1	0	523	112	200
torch.cummin	488	0	488	108	129	51	200	0	0	0	0	247	41	200
torch.cumprod	620	0	620	182	131	103	204	0	0	0	0	386	30	204
torch.cumsum	594	0	594	276	48	67	203	0	0	0	0	320	71	203
torch.cumulative_trapezoid	940	0	940	385	209	144	202	0	0	0	0	665	73	202
torch.deg2rad	516	0	516	80	116	117	203	0	0	0	0	173	140	203
torch.dequantize	642	0	642	133	199	86	224	0	0	0	0	358	60	224
torch.det	375	0	375	68	37	66	204	0	0	0	0	128	43	204
torch.diag	408	0	408	103	111	60	134	0	0	0	0	239	35	134
torch.diag_embed	440	0	440	84	96	54	206	0	0	0	0	216	18	206
torch.diagflat	534	0	534	178	75	79	202	0	0	0	0	303	29	202
torch.diagonal	1157	0	1157	358	427	168	204	0	0	0	0	906	47	204
torch.diff	591	0	591	169	166	41	215	0	0	0	0	329	47	215
torch.digamma	381	0	381	47	78	34	222	0	0	0	0	143	16	222
torch.dist	403	0	403	105	41	57	200	0	0	0	0	148	55	200
torch.distributed.Backend	577	0	577	20	163	91	227	0	0	76	0	319	31	227
torch.distributed.HashStore	1934	0	1934	50	1112	559	213	0	0	0	0	1451	270	213
torch.distributed.Store	1220	0	1220	15	644	353	208	0	0	0	0	857	155	208
torch.distributed.TCPStore	1390	0	1390	22	746	410	212	0	0	0	0	1051	127	212
torch.distributed.algorithms.JoinHook	2883	0	2883	175	2085	419	204	0	0	0	0	2384	295	204
torch.distributed.all_gather_object	515	0	515	73	76	103	203	0	0	60	0	291	21	203
torch.distributed.barrier	556	0	556	45	97	203	203	0	0	8	0	315	38	203
torch.distributed.broadcast	439	0	439	46	91	81	210	0	0	11	0	216	13	210
torch.distributed.broadcast_object_list	2958	0	2958	137	199	2539	70	0	0	13	0	2722	166	70
torch.distributed.gather_object	3164	0	3164	120	296	414	131	0	0	2203	0	2867	166	131
torch.distributed.is_available	807	0	807	98	344	165	200	0	0	0	0	507	100	200
torch.distributed.is_initialized	601	0	601	19	125	228	204	0	0	25	0	354	43	204
torch.distributed.is_mpi_available	491	0	491	43	200	43	205	0	0	0	0	250	36	205
torch.distributed.is_nccl_available	456	0	456	18	131	98	209	0	0	0	0	191	56	209
torch.distributed.is_torchelastic_launched	532	0	532	49	179	101	203	0	0	0	0	260	69	203
torch.distributed.monitored_barrier	824	0	824	101	211	157	202	0	0	153	0	497	125	202
torch.distributions.bernoulli.Bernoulli	701	0	701	107	155	233	206	0	0	0	0	460	35	206
torch.distributions.beta.Beta	518	0	518	42	162	113	201	0	0	0	0	298	19	201
torch.distributions.binomial.Binomial	476	0	476	59	128	80	209	0	0	0	0	251	16	209
torch.distributions.categorical.Categorical	492	0	492	50	90	141	211	0	0	0	0	256	25	211
torch.distributions.cauchy.Cauchy	557	0	557	91	140	121	205	0	0	0	0	346	6	205
torch.distributions.chi2.Chi2	739	0	739	119	195	223	202	0	0	0	0	489	48	202
torch.distributions.constraint_registry.ConstraintRegistry	1011	0	1011	143	460	202	206	0	0	0	0	687	117	207
torch.distributions.constraints.Constraint	564	0	564	70	177	109	208	0	0	0	0	319	37	208
torch.distributions.continuous_bernoulli.ContinuousBernoulli	716	0	716	97	199	219	201	0	0	0	0	477	38	201
torch.distributions.dirichlet.Dirichlet	688	0	688	96	158	227	207	0	0	0	0	445	36	207
torch.distributions.distribution.Distribution	590	0	590	122	185	82	201	0	0	0	0	346	43	201
torch.distributions.exp_family.ExponentialFamily	662	0	662	112	157	192	201	0	0	0	0	373	88	201
torch.distributions.exponential.Exponential	1161	0	1161	385	203	364	209	0	0	0	0	909	43	209
torch.distributions.fishersnedecor.FisherSnedecor	577	0	577	79	69	229	200	0	0	0	0	372	5	200
torch.distributions.gamma.Gamma	383	0	383	85	83	99	116	0	0	0	0	262	5	116
torch.distributions.geometric.Geometric	622	0	622	88	145	178	211	0	0	0	0	394	17	211
torch.distributions.gumbel.Gumbel	414	0	414	64	88	55	207	0	0	0	0	185	22	207
torch.distributions.half_cauchy.HalfCauchy	557	0	557	100	139	114	204	0	0	0	0	315	38	204
torch.distributions.half_normal.HalfNormal	560	0	560	133	98	126	203	0	0	0	0	332	25	203
torch.distributions.independent.Independent	480	0	480	61	77	134	208	0	0	0	0	265	7	208
torch.distributions.kl.kl_divergence	535	0	535	97	73	164	201	0	0	0	0	285	49	201
torch.distributions.kl.register_kl	2181	0	2181	393	1181	401	206	0	0	0	0	1718	257	206
torch.distributions.kumaraswamy.Kumaraswamy	496	0	496	69	96	127	204	0	0	0	0	246	46	204
torch.distributions.lkj_cholesky.LKJCholesky	679	0	679	96	214	167	202	0	0	0	0	410	67	202
torch.distributions.log_normal.LogNormal	549	0	549	57	199	85	208	0	0	0	0	332	9	208
torch.distributions.lowrank_multivariate_normal.LowRankMultivariateNormal	1122	0	1122	509	231	180	202	0	0	0	0	847	73	202
torch.distributions.mixture_same_family.MixtureSameFamily	636	0	636	118	110	198	210	0	0	0	0	396	30	210
torch.distributions.multinomial.Multinomial	744	0	744	150	142	247	205	0	0	0	0	504	35	205
torch.distributions.multivariate_normal.MultivariateNormal	579	0	579	87	141	147	204	0	0	0	0	360	15	204
torch.distributions.negative_binomial.NegativeBinomial	963	0	963	193	252	316	202	0	0	0	0	726	35	202
torch.distributions.normal.Normal	547	0	547	50	159	127	211	0	0	0	0	330	6	211
torch.distributions.one_hot_categorical.OneHotCategorical	494	0	494	84	80	112	218	0	0	0	0	235	41	218
torch.distributions.pareto.Pareto	618	0	618	120	122	175	201	0	0	0	0	282	135	201
torch.distributions.poisson.Poisson	982	0	982	261	350	171	200	0	0	0	0	704	78	200
torch.distributions.relaxed_bernoulli.LogitRelaxedBernoulli	549	0	549	123	117	107	202	0	0	0	0	326	21	202
torch.distributions.relaxed_bernoulli.RelaxedBernoulli	775	0	775	224	155	193	203	0	0	0	0	533	39	203
torch.distributions.relaxed_categorical.RelaxedOneHotCategorical	159	0	159	52	34	50	23	0	0	0	0	133	3	23
torch.distributions.studentT.StudentT	491	0	491	74	55	158	204	0	0	0	0	262	25	204
torch.distributions.transforms.AbsTransform	897	0	897	121	205	370	201	0	0	0	0	650	46	201
torch.distributions.transforms.AffineTransform	872	0	872	209	209	252	202	0	0	0	0	647	23	202
torch.distributions.transforms.ComposeTransform	628	0	628	125	194	108	201	0	0	0	0	400	27	201
torch.distributions.transforms.CorrCholeskyTransform	523	0	523	106	64	134	219	0	0	0	0	295	9	219
torch.distributions.transforms.ExpTransform	559	0	559	76	104	178	201	0	0	0	0	314	44	201
torch.distributions.transforms.IndependentTransform	923	0	923	167	301	242	213	0	0	0	0	665	45	213
torch.distributions.transforms.LowerCholeskyTransform	680	0	680	163	172	136	209	0	0	0	0	392	79	209
torch.distributions.transforms.PowerTransform	590	0	590	73	90	220	207	0	0	0	0	319	64	207
torch.distributions.transforms.ReshapeTransform	688	0	688	168	112	199	209	0	0	0	0	466	13	209
torch.distributions.transforms.SigmoidTransform	492	0	492	50	87	154	201	0	0	0	0	263	28	201
torch.distributions.transforms.SoftmaxTransform	192	0	192	50	61	43	38	0	0	0	0	130	24	38
torch.distributions.transforms.StickBreakingTransform	757	0	757	131	193	233	200	0	0	0	0	514	43	200
torch.distributions.transforms.TanhTransform	497	0	497	93	103	94	207	0	0	0	0	284	6	207
torch.distributions.transforms.Transform	1359	0	1359	184	497	467	211	0	0	0	0	837	310	212
torch.distributions.uniform.Uniform	554	0	554	196	57	97	204	0	0	0	0	330	20	204
torch.distributions.von_mises.VonMises	434	0	434	77	81	76	200	0	0	0	0	160	74	200
torch.distributions.weibull.Weibull	575	0	575	105	116	138	216	0	0	0	0	341	18	216
torch.div	51	0	51	3	28	4	16	0	0	0	0	31	4	16
torch.divide	522	0	522	93	152	74	203	0	0	0	0	253	66	203
torch.dot	618	0	618	142	54	220	202	0	0	0	0	360	56	202
torch.dsplit	992	0	992	218	252	318	204	0	0	0	0	743	45	204
torch.dstack	732	0	732	322	90	92	228	0	0	0	0	409	95	228
torch.einsum	1244	0	1244	236	135	667	206	0	0	0	0	944	94	206
torch.empty	342	0	342	47	38	25	232	0	0	0	0	108	2	232
torch.empty_like	406	0	406	85	76	38	207	0	0	0	0	178	21	207
torch.empty_strided	512	0	512	133	68	106	205	0	0	0	0	284	23	205
torch.enable_grad	444	0	444	41	117	82	204	0	0	0	0	216	24	204
torch.eq	561	0	561	77	196	82	206	0	0	0	0	294	61	206
torch.equal	314	0	314	61	21	29	203	0	0	0	0	94	17	203
torch.erf	434	0	434	71	85	69	209	0	0	0	0	181	44	209
torch.erfc	525	0	525	74	106	144	201	0	0	0	0	311	13	201
torch.erfinv	606	0	606	114	148	141	203	0	0	0	0	390	13	203
torch.exp	437	0	437	74	97	65	201	0	0	0	0	171	65	201
torch.exp2	331	0	331	44	50	13	224	0	0	0	0	99	8	224
torch.expm1	369	0	369	46	64	59	200	0	0	0	0	150	19	200
torch.eye	397	0	397	54	100	42	201	0	0	0	0	151	45	201
torch.fake_quantize_per_tensor_affine	488	0	488	165	77	40	206	0	0	0	0	238	44	206
torch.fft.fft	725	0	725	249	211	63	202	0	0	0	0	480	43	202
torch.fft.fft2	341	0	341	42	61	27	211	0	0	0	0	99	31	211
torch.fft.fftfreq	770	0	770	184	204	170	212	0	0	0	0	513	45	212
torch.fft.fftn	525	0	525	119	86	107	213	0	0	0	0	282	30	213
torch.fft.fftshift	434	0	434	104	68	37	225	0	0	0	0	198	11	225
torch.fft.hfft	621	0	621	171	144	87	219	0	0	0	0	352	50	219
torch.fft.ifft	482	0	482	90	106	82	204	0	0	0	0	226	52	204
torch.fft.ifft2	431	0	431	84	85	59	203	0	0	0	0	212	16	203
torch.fft.ifftn	840	0	840	258	255	127	200	0	0	0	0	513	127	200
torch.fft.ifftshift	657	0	657	159	142	155	201	0	0	0	0	318	138	201
torch.fft.ihfft	616	0	616	178	101	132	205	0	0	0	0	366	45	205
torch.fft.irfft	393	0	393	79	74	22	218	0	0	0	0	133	42	218
torch.fft.irfft2	623	0	623	160	127	108	228	0	0	0	0	347	48	228
torch.fft.irfftn	946	0	946	330	190	226	200	0	0	0	0	655	91	200
torch.fft.rfft	575	0	575	142	123	87	223	0	0	0	0	307	45	223
torch.fft.rfft2	545	0	545	190	96	58	201	0	0	0	0	301	43	201
torch.fft.rfftfreq	479	0	479	83	111	76	209	0	0	0	0	236	34	209
torch.fft.rfftn	394	0	394	68	89	37	200	0	0	0	0	157	37	200
torch.fix	457	0	457	59	157	40	201	0	0	0	0	226	30	201
torch.flatten	456	0	456	84	111	45	216	0	0	0	0	223	17	216
torch.flip	518	0	518	126	145	40	207	0	0	0	0	288	23	207
torch.fliplr	650	0	650	190	200	58	202	0	0	0	0	422	26	202
torch.flipud	560	0	560	147	91	108	214	0	0	0	0	284	62	214
torch.float_power	437	0	437	81	95	49	212	0	0	0	0	198	27	212
torch.floor	498	0	498	143	95	24	236	0	0	0	0	240	22	236
torch.floor_divide	602	0	602	71	60	270	201	0	0	0	0	372	29	201
torch.fmax	351	0	351	93	35	11	212	0	0	0	0	129	10	212
