api	total	focus	excluded	catches	categories
torch.chain_matmul	8	0	8	VarInconsistentCatch:8	uninitialized_or_lazy_state:8
torch.cholesky	2	0	2	ExceptMsgCatch:1;GpuExecFail:1	exception_message_difference_low_value:1;gpu_exec_regular_exception:1
torch.cholesky_inverse	8	0	8	ExceptMsgCatch:7;GpuExecFail:1	exception_message_difference_low_value:6;gpu_exec_regular_exception:1;generated_code_error:1
torch.cholesky_solve	8	0	8	GpuExecFail:6;ExceptMsgCatch:2	gpu_exec_regular_exception:6;exception_message_difference_low_value:2
torch.chunk	2	0	2	ExceptMsgCatch:1;GpuExecFail:1	exception_message_difference_low_value:1;gpu_exec_regular_exception:1
torch.clamp	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.clip	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.clone	7	0	7	GpuExecFail:6;ExceptMsgCatch:1	gpu_exec_regular_exception:6;generated_code_error:1
torch.combinations	105	1	104	GpuExecFail:79;ExceptMsgCatch:25;VarInconsistentCatch:1	gpu_exec_regular_exception:73;exception_message_difference_low_value:25;generated_code_error:6;logic_inconsistency_needs_review:1
torch.compiled_with_cxx11_abi	2	0	2	GpuExecFail:2	gpu_exec_regular_exception:2
torch.complex	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.concat	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.conj	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.conj_physical	4	0	4	ExceptMsgCatch:3;GpuExecFail:1	exception_message_difference_low_value:3;gpu_exec_regular_exception:1
torch.corrcoef	13	0	13	GpuExecFail:8;ExceptMsgCatch:5	tool_or_environment_limit:6;exception_message_difference_low_value:4;gpu_exec_regular_exception:3
torch.cos	1	0	1	ExceptMsgCatch:1	generated_code_error:1
torch.cosh	4	0	4	VarInconsistentCatch:3;GpuExecFail:1	nan_inf_or_boundary_numeric:3;gpu_exec_regular_exception:1
torch.cov	157	0	157	GpuExecFail:133;ExceptMsgCatch:24	gpu_exec_regular_exception:133;exception_message_difference_low_value:20;generated_code_error:4
torch.cross	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.cummax	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:3
torch.cummin	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.cumprod	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.cumulative_trapezoid	4	0	4	ExceptMsgCatch:4	exception_message_difference_low_value:3;generated_code_error:1
torch.deg2rad	6	0	6	GpuExecFail:5;ExceptMsgCatch:1	gpu_exec_regular_exception:5;exception_message_difference_low_value:1
torch.dequantize	54	50	4	ComparisonFail:51;GpuExecFail:2;ExceptMsgCatch:1	final_output_inconsistency:50;gpu_exec_regular_exception:2;alias_or_mutation_semantics:1;exception_message_difference_low_value:1
torch.det	151	0	151	VarInconsistentCatch:149;ExceptMsgCatch:1;GpuExecFail:1	alias_or_mutation_semantics:146;nan_inf_or_boundary_numeric:3;exception_message_difference_low_value:1;gpu_exec_regular_exception:1
torch.diag	16	0	16	ExceptMsgCatch:13;GpuExecFail:3	exception_message_difference_low_value:13;gpu_exec_regular_exception:3
torch.diag_embed	5	0	5	ExceptMsgCatch:4;GpuExecFail:1	exception_message_difference_low_value:4;gpu_exec_regular_exception:1
torch.diagflat	32	0	32	GpuExecFail:20;ExceptMsgCatch:11;ComparisonFail:1	gpu_exec_regular_exception:20;exception_message_difference_low_value:8;tool_or_environment_limit:2;alias_or_mutation_semantics:1;generated_code_error:1
torch.diagonal	22	0	22	ExceptMsgCatch:12;GpuExecFail:10	exception_message_difference_low_value:11;gpu_exec_regular_exception:10;generated_code_error:1
torch.diff	4	0	4	ExceptMsgCatch:2;GpuExecFail:2	exception_message_difference_low_value:2;gpu_exec_regular_exception:2
torch.digamma	3	0	3	ExceptMsgCatch:2;VarInconsistentCatch:1	exception_message_difference_low_value:2;alias_or_mutation_semantics:1
torch.dist	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:1;generated_code_error:1
torch.distributed.HashStore	87	0	87	ExceptMsgCatch:87	exception_message_difference_low_value:83;generated_code_error:4
torch.distributed.Store	21	0	21	ExceptMsgCatch:21	exception_message_difference_low_value:18;generated_code_error:3
torch.distributed.TCPStore	21	0	21	ExceptMsgCatch:19;GpuExecFail:2	exception_message_difference_low_value:13;generated_code_error:6;gpu_exec_regular_exception:2
torch.distributed.algorithms.JoinHook	1	1	0	FrameworkCrashCatch:1	strong_backend_failure:1
torch.distributed.all_gather_object	6	0	6	ExceptMsgCatch:5;GpuExecFail:1	generated_code_error:3;tool_or_environment_limit:3
torch.distributed.barrier	14	6	8	GpuExecFail:6;VarInconsistentCatch:6;ExceptMsgCatch:2	logic_inconsistency_needs_review:6;gpu_exec_regular_exception:5;exception_message_difference_low_value:1;generated_code_error:1;tool_or_environment_limit:1
torch.distributed.broadcast_object_list	106	1	105	ExceptMsgCatch:103;VarInconsistentCatch:2;GpuExecFail:1	exception_message_difference_low_value:89;tool_or_environment_limit:14;gpu_exec_regular_exception:1;logic_inconsistency_needs_review:1;uninitialized_or_lazy_state:1
torch.distributed.gather_object	33	1	32	GpuExecFail:18;ExceptMsgCatch:14;FrameworkCrashCatch:1	tool_or_environment_limit:26;generated_code_error:4;strong_backend_failure:1;exception_message_difference_low_value:1;gpu_exec_regular_exception:1
torch.distributed.is_initialized	6	0	6	GpuExecFail:6	tool_or_environment_limit:3;gpu_exec_regular_exception:3
torch.distributed.isend	1	0	1	ExceptMsgCatch:1	tool_or_environment_limit:1
torch.distributions.bernoulli.Bernoulli	8	0	8	ExceptMsgCatch:6;GpuExecFail:2	exception_message_difference_low_value:6;gpu_exec_regular_exception:2
torch.distributions.beta.Beta	21	0	21	ExceptMsgCatch:21	exception_message_difference_low_value:16;generated_code_error:5
torch.distributions.binomial.Binomial	6	0	6	ExceptMsgCatch:5;GpuExecFail:1	exception_message_difference_low_value:5;gpu_exec_regular_exception:1
torch.distributions.categorical.Categorical	5	0	5	ExceptMsgCatch:5	exception_message_difference_low_value:5
torch.distributions.cauchy.Cauchy	5	0	5	ExceptMsgCatch:5	exception_message_difference_low_value:3;generated_code_error:2
torch.distributions.chi2.Chi2	9	0	9	ExceptMsgCatch:9	exception_message_difference_low_value:9
torch.distributions.constraint_registry.ConstraintRegistry	5	0	5	ExceptMsgCatch:4;GpuExecFail:1	exception_message_difference_low_value:4;gpu_exec_regular_exception:1
torch.distributions.continuous_bernoulli.ContinuousBernoulli	7	0	7	ExceptMsgCatch:6;VarInconsistentCatch:1	exception_message_difference_low_value:6;alias_or_mutation_semantics:1
torch.distributions.dirichlet.Dirichlet	18	0	18	ExceptMsgCatch:18	exception_message_difference_low_value:18
torch.distributions.distribution.Distribution	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.distributions.exp_family.ExponentialFamily	2	1	1	ExceptMsgCatch:1;FrameworkCrashCatch:1	exception_message_difference_low_value:1;strong_backend_failure:1
torch.distributions.exponential.Exponential	12	0	12	ExceptMsgCatch:10;GpuExecFail:2	exception_message_difference_low_value:10;gpu_exec_regular_exception:2
torch.distributions.fishersnedecor.FisherSnedecor	34	0	34	ExceptMsgCatch:17;GpuExecFail:16;ComparisonFail:1	exception_message_difference_low_value:17;gpu_exec_regular_exception:16;alias_or_mutation_semantics:1
torch.distributions.gamma.Gamma	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:3
torch.distributions.geometric.Geometric	20	0	20	ExceptMsgCatch:20	exception_message_difference_low_value:20
torch.distributions.gumbel.Gumbel	4	0	4	ExceptMsgCatch:4	exception_message_difference_low_value:4
torch.distributions.half_cauchy.HalfCauchy	7	0	7	ExceptMsgCatch:5;GpuExecFail:2	exception_message_difference_low_value:5;gpu_exec_regular_exception:2
torch.distributions.half_normal.HalfNormal	49	0	49	ExceptMsgCatch:49	exception_message_difference_low_value:49
torch.distributions.independent.Independent	4	0	4	ExceptMsgCatch:4	exception_message_difference_low_value:3;generated_code_error:1
torch.distributions.kl.kl_divergence	42	0	42	ExceptMsgCatch:42	exception_message_difference_low_value:42
torch.distributions.kl.register_kl	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.distributions.kumaraswamy.Kumaraswamy	54	0	54	ExceptMsgCatch:54	exception_message_difference_low_value:54
torch.distributions.lkj_cholesky.LKJCholesky	166	0	166	VarInconsistentCatch:154;ExceptMsgCatch:12	alias_or_mutation_semantics:154;exception_message_difference_low_value:10;generated_code_error:2
torch.distributions.log_normal.LogNormal	9	0	9	ExceptMsgCatch:9	exception_message_difference_low_value:9
torch.distributions.lowrank_multivariate_normal.LowRankMultivariateNormal	50	0	50	ExceptMsgCatch:50	exception_message_difference_low_value:49;generated_code_error:1
torch.distributions.mixture_same_family.MixtureSameFamily	10	0	10	ExceptMsgCatch:10	exception_message_difference_low_value:10
torch.distributions.multinomial.Multinomial	18	0	18	ExceptMsgCatch:18	exception_message_difference_low_value:18
torch.distributions.multivariate_normal.MultivariateNormal	30	1	29	ExceptMsgCatch:29;VarInconsistentCatch:1	exception_message_difference_low_value:29;logic_inconsistency_needs_review:1
torch.distributions.negative_binomial.NegativeBinomial	13	0	13	ExceptMsgCatch:13	exception_message_difference_low_value:12;generated_code_error:1
torch.distributions.normal.Normal	3	0	3	ExceptMsgCatch:2;GpuExecFail:1	exception_message_difference_low_value:2;gpu_exec_regular_exception:1
torch.distributions.one_hot_categorical.OneHotCategorical	11	0	11	ExceptMsgCatch:10;GpuExecFail:1	exception_message_difference_low_value:10;gpu_exec_regular_exception:1
torch.distributions.pareto.Pareto	10	0	10	ExceptMsgCatch:10	exception_message_difference_low_value:10
torch.distributions.poisson.Poisson	10	0	10	ExceptMsgCatch:9;GpuExecFail:1	exception_message_difference_low_value:8;gpu_exec_regular_exception:1;generated_code_error:1
torch.distributions.relaxed_bernoulli.LogitRelaxedBernoulli	8	0	8	GpuExecFail:4;ExceptMsgCatch:4	gpu_exec_regular_exception:4;exception_message_difference_low_value:3;generated_code_error:1
torch.distributions.relaxed_bernoulli.RelaxedBernoulli	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.distributions.relaxed_categorical.RelaxedOneHotCategorical	11	0	11	ExceptMsgCatch:11	exception_message_difference_low_value:11
torch.distributions.studentT.StudentT	9	0	9	ExceptMsgCatch:9	exception_message_difference_low_value:9
torch.distributions.transforms.AbsTransform	10	0	10	ExceptMsgCatch:10	exception_message_difference_low_value:9;generated_code_error:1
torch.distributions.transforms.AffineTransform	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.distributions.transforms.ComposeTransform	3	0	3	GpuExecFail:2;ExceptMsgCatch:1	gpu_exec_regular_exception:2;exception_message_difference_low_value:1
torch.distributions.transforms.CorrCholeskyTransform	1	1	0	ComparisonFail:1	final_output_inconsistency:1
torch.distributions.transforms.ExpTransform	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:3
torch.distributions.transforms.IndependentTransform	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:3
torch.distributions.transforms.LowerCholeskyTransform	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.distributions.transforms.SigmoidTransform	2	0	2	ExceptMsgCatch:1;GpuExecFail:1	exception_message_difference_low_value:1;gpu_exec_regular_exception:1
torch.distributions.transforms.StickBreakingTransform	12	0	12	ExceptMsgCatch:10;GpuExecFail:2	exception_message_difference_low_value:10;gpu_exec_regular_exception:2
torch.distributions.transforms.Transform	4	0	4	ExceptMsgCatch:2;GpuExecFail:2	exception_message_difference_low_value:2;gpu_exec_regular_exception:2
torch.distributions.uniform.Uniform	43	0	43	ExceptMsgCatch:43	exception_message_difference_low_value:42;generated_code_error:1
torch.distributions.von_mises.VonMises	5	0	5	ExceptMsgCatch:3;GpuExecFail:2	exception_message_difference_low_value:3;gpu_exec_regular_exception:2
torch.distributions.weibull.Weibull	11	0	11	ExceptMsgCatch:11	exception_message_difference_low_value:10;generated_code_error:1
