api	total	focus	excluded	catches	categories
torch.hsplit	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.hspmm	110	104	6	ComparisonFail:104;ExceptMsgCatch:6	final_output_inconsistency:104;exception_message_difference_low_value:6
torch.hstack	3	0	3	GpuExecFail:2;ExceptMsgCatch:1	gpu_exec_regular_exception:2;exception_message_difference_low_value:1
torch.hub.download_url_to_file	4	0	4	ExceptMsgCatch:4	exception_message_difference_low_value:3;generated_code_error:1
torch.hub.get_dir	6	0	6	ExceptMsgCatch:6	exception_message_difference_low_value:5;generated_code_error:1
torch.hub.load_state_dict_from_url	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.hub.set_dir	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.i0	3	0	3	GpuExecFail:2;ExceptMsgCatch:1	gpu_exec_regular_exception:2;exception_message_difference_low_value:1
torch.igamma	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.igammac	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.index_select	2	1	1	ExceptMsgCatch:1;GpuExecFail:1	exception_message_difference_low_value:1;gpu_exec_or_cuda_assert_mismatch:1
torch.initial_seed	2	0	2	GpuExecFail:2	gpu_exec_regular_exception:2
torch.inner	6	0	6	ExceptMsgCatch:4;GpuExecFail:2	exception_message_difference_low_value:4;gpu_exec_regular_exception:2
torch.is_complex	4	0	4	GpuExecFail:4	gpu_exec_regular_exception:4
torch.is_conj	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:3
torch.is_floating_point	4	0	4	GpuExecFail:2;ExceptMsgCatch:2	gpu_exec_regular_exception:2;exception_message_difference_low_value:2
torch.is_grad_enabled	5	0	5	GpuExecFail:5	gpu_exec_regular_exception:5
torch.is_nonzero	2	0	2	GpuExecFail:1;ExceptMsgCatch:1	gpu_exec_regular_exception:1;exception_message_difference_low_value:1
torch.is_tensor	3	0	3	ExceptMsgCatch:2;GpuExecFail:1	exception_message_difference_low_value:2;gpu_exec_regular_exception:1
torch.is_warn_always_enabled	1	0	1	ExceptMsgCatch:1	generated_code_error:1
torch.isclose	4	0	4	GpuExecFail:3;ExceptMsgCatch:1	gpu_exec_regular_exception:3;exception_message_difference_low_value:1
torch.isfinite	2	0	2	GpuExecFail:1;ExceptMsgCatch:1	gpu_exec_regular_exception:1;generated_code_error:1
torch.isin	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.isinf	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.isnan	3	0	3	ExceptMsgCatch:2;GpuExecFail:1	exception_message_difference_low_value:2;gpu_exec_regular_exception:1
torch.isneginf	3	0	3	ExceptMsgCatch:2;GpuExecFail:1	exception_message_difference_low_value:2;gpu_exec_regular_exception:1
torch.isposinf	151	0	151	GpuExecFail:123;ExceptMsgCatch:28	gpu_exec_regular_exception:123;exception_message_difference_low_value:27;generated_code_error:1
torch.isreal	4	0	4	ExceptMsgCatch:4	exception_message_difference_low_value:4
torch.istft	30	0	30	ExceptMsgCatch:29;VarInconsistentCatch:1	exception_message_difference_low_value:28;alias_or_mutation_semantics:1;generated_code_error:1
torch.jit.annotate	2	0	2	GpuExecFail:1;ExceptMsgCatch:1	gpu_exec_regular_exception:1;generated_code_error:1
torch.jit.ignore	8	0	8	ExceptMsgCatch:8	exception_message_difference_low_value:8
torch.jit.isinstance	1	1	0	VarInconsistentCatch:1	logic_inconsistency_needs_review:1
torch.jit.load	14	0	14	ExceptMsgCatch:14	exception_message_difference_low_value:12;generated_code_error:2
torch.jit.script	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:1;generated_code_error:1
torch.jit.wait	7	0	7	ExceptMsgCatch:7	exception_message_difference_low_value:4;generated_code_error:3
torch.kaiser_window	17	1	16	ExceptMsgCatch:14;VarInconsistentCatch:2;GpuExecFail:1	exception_message_difference_low_value:14;gpu_exec_regular_exception:1;logic_inconsistency_needs_review:1;nan_inf_or_boundary_numeric:1
torch.kron	6	0	6	ExceptMsgCatch:6	exception_message_difference_low_value:4;generated_code_error:2
torch.kthvalue	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.ldexp	5	0	5	ExceptMsgCatch:4;GpuExecFail:1	exception_message_difference_low_value:4;gpu_exec_regular_exception:1
torch.le	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.linalg.cholesky	79	0	79	GpuExecFail:64;ExceptMsgCatch:15	gpu_exec_regular_exception:63;exception_message_difference_low_value:15;generated_code_error:1
torch.linalg.cholesky_ex	18	0	18	ExceptMsgCatch:11;GpuExecFail:7	exception_message_difference_low_value:11;gpu_exec_regular_exception:7
torch.linalg.cond	34	9	25	GpuExecFail:22;VarInconsistentCatch:9;ExceptMsgCatch:3	gpu_exec_regular_exception:22;numeric_consistency_check_needed:9;exception_message_difference_low_value:3
torch.linalg.det	16	0	16	GpuExecFail:11;ExceptMsgCatch:5	gpu_exec_regular_exception:11;exception_message_difference_low_value:4;generated_code_error:1
torch.linalg.eig	8	0	8	ExceptMsgCatch:6;GpuExecFail:2	exception_message_difference_low_value:6;gpu_exec_regular_exception:2
torch.linalg.eigh	67	50	17	VarInconsistentCatch:56;GpuExecFail:6;ExceptMsgCatch:5	numeric_consistency_check_needed:50;gpu_exec_regular_exception:6;exception_message_difference_low_value:5;alias_or_mutation_semantics:4;nan_inf_or_boundary_numeric:1;generated_code_error:1
torch.linalg.eigvals	12	0	12	ExceptMsgCatch:9;VarInconsistentCatch:3	exception_message_difference_low_value:8;nan_inf_or_boundary_numeric:3;generated_code_error:1
torch.linalg.eigvalsh	9	1	8	ExceptMsgCatch:6;GpuExecFail:2;VarInconsistentCatch:1	exception_message_difference_low_value:5;gpu_exec_regular_exception:2;generated_code_error:1;numeric_consistency_check_needed:1
torch.linalg.householder_product	4	0	4	ExceptMsgCatch:3;GpuExecFail:1	exception_message_difference_low_value:2;gpu_exec_regular_exception:1;generated_code_error:1
torch.linalg.inv	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:3
torch.linalg.inv_ex	22	0	22	ExceptMsgCatch:22	exception_message_difference_low_value:22
torch.linalg.lstsq	11	2	9	ExceptMsgCatch:5;VarInconsistentCatch:4;GpuExecFail:2	exception_message_difference_low_value:4;gpu_exec_regular_exception:2;nan_inf_or_boundary_numeric:2;numeric_consistency_check_needed:2;generated_code_error:1
torch.linalg.matmul	17	0	17	ExceptMsgCatch:13;GpuExecFail:4	exception_message_difference_low_value:12;gpu_exec_regular_exception:4;generated_code_error:1
torch.linalg.matrix_norm	9	0	9	GpuExecFail:5;ExceptMsgCatch:3;VarInconsistentCatch:1	gpu_exec_regular_exception:5;generated_code_error:2;exception_message_difference_low_value:1;nan_inf_or_boundary_numeric:1
torch.linalg.matrix_power	48	0	48	GpuExecFail:42;ExceptMsgCatch:5;VarInconsistentCatch:1	gpu_exec_regular_exception:41;exception_message_difference_low_value:5;generated_code_error:1;nan_inf_or_boundary_numeric:1
torch.linalg.matrix_rank	7	0	7	ExceptMsgCatch:4;GpuExecFail:3	gpu_exec_regular_exception:3;exception_message_difference_low_value:3;generated_code_error:1
torch.linalg.multi_dot	2	0	2	ExceptMsgCatch:2	generated_code_error:1;exception_message_difference_low_value:1
torch.linalg.norm	80	0	80	GpuExecFail:50;ExceptMsgCatch:30	gpu_exec_regular_exception:50;exception_message_difference_low_value:30
torch.linalg.qr	3	0	3	ExceptMsgCatch:2;GpuExecFail:1	exception_message_difference_low_value:2;gpu_exec_regular_exception:1
torch.linalg.slogdet	9	0	9	GpuExecFail:6;ExceptMsgCatch:3	gpu_exec_regular_exception:6;exception_message_difference_low_value:3
torch.linalg.solve	220	0	220	GpuExecFail:183;ExceptMsgCatch:37	gpu_exec_regular_exception:183;exception_message_difference_low_value:35;generated_code_error:2
torch.linalg.svd	212	188	24	VarInconsistentCatch:210;GpuExecFail:2	numeric_consistency_check_needed:188;nan_inf_or_boundary_numeric:21;gpu_exec_regular_exception:2;alias_or_mutation_semantics:1
torch.linalg.svdvals	4	0	4	ExceptMsgCatch:3;VarInconsistentCatch:1	exception_message_difference_low_value:2;generated_code_error:1;alias_or_mutation_semantics:1
torch.linalg.tensorinv	2	0	2	GpuExecFail:2	gpu_exec_regular_exception:2
torch.linalg.tensorsolve	5	0	5	ExceptMsgCatch:3;GpuExecFail:2	exception_message_difference_low_value:3;gpu_exec_regular_exception:2
torch.linalg.vector_norm	4	0	4	GpuExecFail:3;ExceptMsgCatch:1	gpu_exec_regular_exception:3;exception_message_difference_low_value:1
torch.linspace	63	0	63	GpuExecFail:52;ExceptMsgCatch:11	gpu_exec_regular_exception:52;exception_message_difference_low_value:8;generated_code_error:3
torch.lobpcg	14	0	14	ExceptMsgCatch:13;GpuExecFail:1	exception_message_difference_low_value:13;gpu_exec_regular_exception:1
torch.log10	101	0	101	GpuExecFail:85;ExceptMsgCatch:16	gpu_exec_regular_exception:85;exception_message_difference_low_value:8;generated_code_error:8
torch.log1p	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.log2	115	0	115	GpuExecFail:106;ExceptMsgCatch:9	gpu_exec_regular_exception:106;exception_message_difference_low_value:8;generated_code_error:1
torch.logaddexp	13	0	13	ExceptMsgCatch:9;ComparisonFail:3;GpuExecFail:1	exception_message_difference_low_value:6;alias_or_mutation_semantics:3;generated_code_error:3;gpu_exec_regular_exception:1
torch.logcumsumexp	3	0	3	GpuExecFail:2;ExceptMsgCatch:1	gpu_exec_regular_exception:2;generated_code_error:1
torch.logdet	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:1;generated_code_error:1
torch.logical_and	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.logical_not	2	0	2	ExceptMsgCatch:1;GpuExecFail:1	exception_message_difference_low_value:1;gpu_exec_regular_exception:1
torch.logical_xor	3	0	3	ExceptMsgCatch:2;GpuExecFail:1	exception_message_difference_low_value:2;gpu_exec_regular_exception:1
torch.logit	5	0	5	GpuExecFail:2;ExceptMsgCatch:2;VarInconsistentCatch:1	gpu_exec_regular_exception:2;exception_message_difference_low_value:2;nan_inf_or_boundary_numeric:1
torch.logspace	3	0	3	ExceptMsgCatch:2;GpuExecFail:1	generated_code_error:1;gpu_exec_regular_exception:1;exception_message_difference_low_value:1
torch.logsumexp	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.lt	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.lu	4	1	3	ExceptMsgCatch:3;GpuExecFail:1	exception_message_difference_low_value:2;generated_code_error:1;gpu_exec_or_cuda_assert_mismatch:1
torch.lu_solve	33	0	33	ExceptMsgCatch:29;GpuExecFail:4	exception_message_difference_low_value:28;gpu_exec_regular_exception:4;generated_code_error:1
torch.lu_unpack	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.masked_select	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.matmul	18	0	18	ExceptMsgCatch:10;GpuExecFail:8	exception_message_difference_low_value:9;gpu_exec_regular_exception:8;generated_code_error:1
torch.matrix_exp	4	0	4	GpuExecFail:3;ExceptMsgCatch:1	gpu_exec_regular_exception:3;exception_message_difference_low_value:1
torch.matrix_power	9	1	8	GpuExecFail:8;VarInconsistentCatch:1	gpu_exec_regular_exception:8;logic_inconsistency_needs_review:1
torch.maximum	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.mean	1	0	1	VarInconsistentCatch:1	alias_or_mutation_semantics:1
torch.median	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.meshgrid	9	0	9	GpuExecFail:8;ExceptMsgCatch:1	gpu_exec_regular_exception:8;exception_message_difference_low_value:1
torch.mm	15	0	15	ExceptMsgCatch:14;GpuExecFail:1	exception_message_difference_low_value:14;gpu_exec_regular_exception:1
torch.mode	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.multinomial	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.mv	5	0	5	ExceptMsgCatch:4;GpuExecFail:1	exception_message_difference_low_value:4;gpu_exec_regular_exception:1
torch.mvlgamma	2	0	2	VarInconsistentCatch:1;ExceptMsgCatch:1	nan_inf_or_boundary_numeric:1;exception_message_difference_low_value:1
torch.nan_to_num	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.nanmean	8	0	8	ExceptMsgCatch:8	exception_message_difference_low_value:7;generated_code_error:1
torch.nanmedian	15	0	15	ExceptMsgCatch:15	exception_message_difference_low_value:13;generated_code_error:2
torch.nanquantile	5	0	5	ExceptMsgCatch:3;GpuExecFail:2	exception_message_difference_low_value:3;gpu_exec_regular_exception:2
torch.nansum	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:2;generated_code_error:1
torch.ne	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.neg	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.AdaptiveAvgPool1d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.AdaptiveAvgPool3d	7	0	7	ExceptMsgCatch:7	exception_message_difference_low_value:7
torch.nn.AdaptiveLogSoftmaxWithLoss	258	0	258	GpuExecFail:192;ExceptMsgCatch:66	gpu_exec_regular_exception:187;exception_message_difference_low_value:63;generated_code_error:8
torch.nn.AdaptiveMaxPool1d	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.nn.AdaptiveMaxPool3d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.AlphaDropout	24	0	24	GpuExecFail:23;ExceptMsgCatch:1	gpu_exec_regular_exception:23;exception_message_difference_low_value:1
torch.nn.AvgPool3d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.BatchNorm1d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.BatchNorm2d	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:3
torch.nn.BatchNorm3d	142	45	97	VarInconsistentCatch:141;ExceptMsgCatch:1	nan_inf_or_boundary_numeric:95;logic_inconsistency_needs_review:45;alias_or_mutation_semantics:1;exception_message_difference_low_value:1
torch.nn.Bilinear	5	0	5	ExceptMsgCatch:5	exception_message_difference_low_value:4;generated_code_error:1
torch.nn.CTCLoss	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.nn.ChannelShuffle	2	0	2	GpuExecFail:2	gpu_exec_regular_exception:2
torch.nn.ConstantPad1d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.ConstantPad2d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.ConstantPad3d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.Conv1d	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.nn.Conv2d	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.nn.ConvTranspose1d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.ConvTranspose2d	4	0	4	GpuExecFail:2;ExceptMsgCatch:2	gpu_exec_regular_exception:2;exception_message_difference_low_value:2
torch.nn.ConvTranspose3d	13	0	13	ExceptMsgCatch:11;GpuExecFail:2	exception_message_difference_low_value:9;tool_or_environment_limit:4
torch.nn.CosineSimilarity	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.nn.CrossEntropyLoss	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.nn.Dropout	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.Dropout2d	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.nn.Dropout3d	3	0	3	GpuExecFail:3	gpu_exec_regular_exception:3
torch.nn.ELU	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.Embedding	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.EmbeddingBag	6	0	6	ExceptMsgCatch:6	exception_message_difference_low_value:6
torch.nn.FeatureAlphaDropout	2	0	2	GpuExecFail:2	gpu_exec_regular_exception:2
torch.nn.FractionalMaxPool3d	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.nn.GELU	2	0	2	GpuExecFail:1;ExceptMsgCatch:1	gpu_exec_regular_exception:1;exception_message_difference_low_value:1
torch.nn.GLU	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.GRU	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.nn.GRUCell	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.nn.GaussianNLLLoss	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.GroupNorm	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.Hardswish	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.nn.Hardtanh	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.Identity	3	1	2	VarInconsistentCatch:3	logic_inconsistency_needs_review:1;alias_or_mutation_semantics:1;generated_code_error:1
torch.nn.InstanceNorm2d	27	0	27	ExceptMsgCatch:24;GpuExecFail:3	exception_message_difference_low_value:24;gpu_exec_regular_exception:3
torch.nn.KLDivLoss	2	0	2	ExceptMsgCatch:1;VarInconsistentCatch:1	exception_message_difference_low_value:1;nan_inf_or_boundary_numeric:1
torch.nn.L1Loss	4	0	4	ExceptMsgCatch:2;GpuExecFail:2	exception_message_difference_low_value:2;gpu_exec_regular_exception:2
torch.nn.LPPool1d	3	0	3	GpuExecFail:2;ExceptMsgCatch:1	gpu_exec_regular_exception:2;exception_message_difference_low_value:1
torch.nn.LPPool2d	2	0	2	GpuExecFail:1;ExceptMsgCatch:1	gpu_exec_regular_exception:1;exception_message_difference_low_value:1
torch.nn.LayerNorm	194	0	194	GpuExecFail:128;ExceptMsgCatch:66	gpu_exec_regular_exception:128;exception_message_difference_low_value:50;generated_code_error:16
torch.nn.LazyBatchNorm3d	2	0	2	ExceptMsgCatch:1;VarInconsistentCatch:1	exception_message_difference_low_value:1;alias_or_mutation_semantics:1
torch.nn.LazyConv1d	8	0	8	ExceptMsgCatch:8	exception_message_difference_low_value:8
torch.nn.LazyConv2d	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.nn.LazyConv3d	11	0	11	ExceptMsgCatch:9;GpuExecFail:2	exception_message_difference_low_value:9;gpu_exec_regular_exception:2
torch.nn.LazyConvTranspose1d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.LazyConvTranspose3d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.LazyInstanceNorm1d	2	0	2	ComparisonFail:1;ExceptMsgCatch:1	alias_or_mutation_semantics:1;exception_message_difference_low_value:1
torch.nn.LazyInstanceNorm2d	4	0	4	VarInconsistentCatch:2;ExceptMsgCatch:1;ComparisonFail:1	alias_or_mutation_semantics:2;exception_message_difference_low_value:1;uninitialized_or_lazy_state:1
torch.nn.LazyInstanceNorm3d	2	0	2	GpuExecFail:1;ExceptMsgCatch:1	gpu_exec_regular_exception:1;exception_message_difference_low_value:1
torch.nn.LazyLinear	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:3
torch.nn.LeakyReLU	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.LogSigmoid	2	0	2	GpuExecFail:1;ExceptMsgCatch:1	gpu_exec_regular_exception:1;exception_message_difference_low_value:1
torch.nn.LogSoftmax	2	0	2	ExceptMsgCatch:1;GpuExecFail:1	exception_message_difference_low_value:1;gpu_exec_regular_exception:1
torch.nn.MSELoss	3	0	3	ExceptMsgCatch:2;GpuExecFail:1	generated_code_error:1;gpu_exec_regular_exception:1;exception_message_difference_low_value:1
torch.nn.MaxPool1d	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.nn.MaxPool3d	11	0	11	ExceptMsgCatch:11	exception_message_difference_low_value:10;generated_code_error:1
torch.nn.MaxUnpool1d	33	0	33	ExceptMsgCatch:33	exception_message_difference_low_value:32;generated_code_error:1
torch.nn.MaxUnpool2d	40	30	10	VarInconsistentCatch:32;ExceptMsgCatch:8	max_unpool_index_semantics:30;exception_message_difference_low_value:8;alias_or_mutation_semantics:2
torch.nn.MaxUnpool3d	294	225	69	VarInconsistentCatch:226;ExceptMsgCatch:68	max_unpool_index_semantics:225;exception_message_difference_low_value:66;generated_code_error:2;alias_or_mutation_semantics:1
torch.nn.ModuleDict	6	2	4	GpuExecFail:4;FrameworkCrashCatch:2	gpu_exec_regular_exception:4;strong_backend_failure:2
torch.nn.MultiLabelMarginLoss	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:3
torch.nn.MultiMarginLoss	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.MultiheadAttention	6	2	4	VarInconsistentCatch:3;ExceptMsgCatch:3	exception_message_difference_low_value:3;logic_inconsistency_needs_review:2;alias_or_mutation_semantics:1
torch.nn.NLLLoss	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.PReLU	1	1	0	VarInconsistentCatch:1	logic_inconsistency_needs_review:1
torch.nn.ParameterDict	3	0	3	GpuExecFail:3	gpu_exec_regular_exception:3
torch.nn.ParameterList	22	0	22	ExceptMsgCatch:15;GpuExecFail:7	generated_code_error:13;gpu_exec_regular_exception:7;exception_message_difference_low_value:2
torch.nn.PixelShuffle	2	0	2	VarInconsistentCatch:1;ExceptMsgCatch:1	nan_inf_or_boundary_numeric:1;exception_message_difference_low_value:1
torch.nn.PoissonNLLLoss	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.nn.RNN	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:3
torch.nn.RNNBase	295	289	6	GpuCrashCatch:289;GpuExecFail:5;ExceptMsgCatch:1	strong_backend_failure:289;gpu_exec_regular_exception:5;exception_message_difference_low_value:1
torch.nn.RReLU	4	0	4	ExceptMsgCatch:4	exception_message_difference_low_value:4
torch.nn.ReLU	5	0	5	ExceptMsgCatch:5	exception_message_difference_low_value:5
torch.nn.ReLU6	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:3
torch.nn.ReflectionPad1d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.ReflectionPad2d	3	0	3	ExceptMsgCatch:3	exception_message_difference_low_value:3
torch.nn.ReplicationPad1d	2	0	2	GpuExecFail:1;ExceptMsgCatch:1	gpu_exec_regular_exception:1;exception_message_difference_low_value:1
torch.nn.ReplicationPad3d	15	2	13	GpuExecFail:11;ExceptMsgCatch:2;FrameworkCrashCatch:2	tool_or_environment_limit:13;strong_backend_failure:2
torch.nn.SELU	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.Sequential	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.nn.SiLU	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.nn.Sigmoid	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.nn.SoftMarginLoss	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.Softmax	5	2	3	ExceptMsgCatch:2;VarInconsistentCatch:2;GpuExecFail:1	exception_message_difference_low_value:2;logic_inconsistency_needs_review:2;gpu_exec_regular_exception:1
torch.nn.Softmax2d	4	0	4	GpuExecFail:3;ExceptMsgCatch:1	gpu_exec_regular_exception:3;exception_message_difference_low_value:1
torch.nn.Softmin	7	0	7	ExceptMsgCatch:6;GpuExecFail:1	exception_message_difference_low_value:6;gpu_exec_regular_exception:1
torch.nn.Softplus	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.nn.Softshrink	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:1;generated_code_error:1
torch.nn.Softsign	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.nn.Tanh	1	0	1	VarInconsistentCatch:1	nan_inf_or_boundary_numeric:1
torch.nn.Threshold	1	1	0	VarInconsistentCatch:1	logic_inconsistency_needs_review:1
torch.nn.TransformerDecoderLayer	7	0	7	ExceptMsgCatch:6;GpuExecFail:1	exception_message_difference_low_value:6;gpu_exec_regular_exception:1
torch.nn.UpsamplingBilinear2d	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.nn.functional.adaptive_avg_pool3d	11	0	11	ExceptMsgCatch:11	exception_message_difference_low_value:10;generated_code_error:1
torch.nn.functional.adaptive_max_pool1d	4	0	4	ExceptMsgCatch:4	exception_message_difference_low_value:4
torch.nn.functional.adaptive_max_pool2d	3	0	3	ExceptMsgCatch:2;GpuExecFail:1	exception_message_difference_low_value:2;gpu_exec_regular_exception:1
torch.nn.functional.adaptive_max_pool3d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.functional.affine_grid	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.nn.functional.alpha_dropout	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.functional.avg_pool1d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.functional.avg_pool2d	1	0	1	GpuExecFail:1	gpu_exec_regular_exception:1
torch.nn.functional.batch_norm	5	0	5	ExceptMsgCatch:4;GpuExecFail:1	exception_message_difference_low_value:4;gpu_exec_regular_exception:1
torch.nn.functional.bilinear	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.functional.binary_cross_entropy	1	1	0	GpuExecFail:1	gpu_exec_or_cuda_assert_mismatch:1
torch.nn.functional.binary_cross_entropy_with_logits	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.functional.celu	4	1	3	ExceptMsgCatch:2;VarInconsistentCatch:1;GpuExecFail:1	exception_message_difference_low_value:2;logic_inconsistency_needs_review:1;gpu_exec_regular_exception:1
torch.nn.functional.conv1d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.functional.conv2d	10	1	9	GpuExecFail:6;ExceptMsgCatch:3;VarInconsistentCatch:1	gpu_exec_regular_exception:6;exception_message_difference_low_value:3;numeric_consistency_check_needed:1
torch.nn.functional.conv3d	222	189	33	VarInconsistentCatch:219;ExceptMsgCatch:3	numeric_consistency_check_needed:189;alias_or_mutation_semantics:27;exception_message_difference_low_value:3;generated_code_error:2;nan_inf_or_boundary_numeric:1
torch.nn.functional.conv_transpose1d	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.functional.conv_transpose2d	4	4	0	VarInconsistentCatch:4	numeric_consistency_check_needed:4
torch.nn.functional.conv_transpose3d	51	42	9	VarInconsistentCatch:42;ExceptMsgCatch:9	numeric_consistency_check_needed:42;exception_message_difference_low_value:9
torch.nn.functional.cosine_similarity	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.functional.ctc_loss	132	83	49	VarInconsistentCatch:113;ExceptMsgCatch:17;GpuExecFail:2	numeric_consistency_check_needed:83;alias_or_mutation_semantics:30;exception_message_difference_low_value:16;gpu_exec_regular_exception:2;generated_code_error:1
torch.nn.functional.dropout	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
torch.nn.functional.dropout3d	3	1	2	ExceptMsgCatch:2;ComparisonFail:1	exception_message_difference_low_value:2;final_output_inconsistency:1
torch.nn.functional.elu	2	0	2	ExceptMsgCatch:2	exception_message_difference_low_value:2
torch.nn.functional.elu_	3	0	3	ExceptMsgCatch:2;VarInconsistentCatch:1	exception_message_difference_low_value:2;nan_inf_or_boundary_numeric:1
torch.nn.functional.embedding	1	0	1	ExceptMsgCatch:1	exception_message_difference_low_value:1
